id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32330630,501 Near T and Area Hospitals,205269848,Temple Place,,Downtown,42.35391,-71.063,Entire home/apt,89,1,21,2020-05-21,0.90,17,108
32330936,507 Stylish Studio in the Heart of Boston!,205269848,Temple Place,,Beacon Hill,42.35618,-71.06283,Entire home/apt,96,2,47,2020-11-12,2.08,17,62
32331042,506 Perfect Studio in Downtown Boston!,205269848,Temple Place,,Downtown,42.35482,-71.06313,Entire home/apt,91,2,26,2020-11-24,1.23,17,61
32331101,602 Stylish Downtown Boston Studio!,205269848,Temple Place,,Downtown,42.3544,-71.06116,Entire home/apt,96,2,42,2020-03-12,1.81,17,0
32331200,606 Simple Studio in the Heart of Boston!,205269848,Temple Place,,Beacon Hill,42.35605,-71.06278,Entire home/apt,89,2,41,2020-03-14,1.76,17,99
32365217,"2 bedrooms & private bath, 20 mins from downtown",97604478,Keziah,,Hyde Park,42.2352,-71.12732,Private room,48,1,8,2019-08-14,0.42,1,37
32365346,Desirable Boston Neighborhood near Downtown&Beach4,33656138,Stacy,,Dorchester,42.31568,-71.05981,Private room,80,1,28,2020-07-28,1.27,1,365
32366109,Wonderful apartment located in the heart of Boston,243028338,Kondy,,Mission Hill,42.33287,-71.09757,Entire home/apt,200,91,0,,,1,0
32378499,Mins to Downtown/Seaport/BCEC with a private bath!,237078658,Lindsay,,South Boston,42.33634,-71.03941,Private room,64,1,61,2020-10-24,2.67,1,356
32402053,3F Traveling Medical Professional Home 4 BR | 3.5B,814298,Thatch,,Roxbury,42.32682,-71.09639,Private room,49,100,0,,,89,90
32426916,Clean Comfy & Cozy Guest Suite  Glory 1,229143484,Maria,,Dorchester,42.28052,-71.07296,Private room,70,1,14,2020-03-06,0.64,4,50
32427383,Clean Comfy & Cozy Guest Suite  Glory 3,229143484,Maria,,Dorchester,42.28006,-71.07152,Private room,85,1,17,2019-11-03,0.75,4,50
32427479,Clean Comfy & Cozy Guest Suite  Glory 5,229143484,Maria,,Dorchester,42.28047,-71.07323,Private room,85,1,10,2019-10-02,0.43,4,50
32427593,Clean Comfy & Cozy Guest Suite  Glory 4,229143484,Maria,,Dorchester,42.27949,-71.07306,Entire home/apt,120,1,38,2020-02-15,1.70,4,50
