total_listings,latitude,longitude,accommodates,bathrooms,bedrooms,num_of_beds,min_nights,max_nights,avail_next_30_days,avail_next_60_days,avail_next_90_days,avail_next_365_days,num_of_reviews,avg_review_score,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,years_hosting
2,52.37075,4.897869999999999,2,1.5,1.0,2.0,2,1125,20,33,59,327,101,94.0,9.0,10.0,10.0,10.0,10.0,9.0,10.28
1,52.36377,4.91831,2,1.0,1.0,1.0,3,30,0,0,0,0,52,91.0,10.0,8.0,10.0,10.0,10.0,9.0,9.1
1,52.370940000000004,4.87654,3,1.0,1.0,1.0,2,1125,0,4,11,132,89,94.0,10.0,9.0,10.0,10.0,10.0,9.0,9.1
1,52.38584,4.871,4,1.0,1.0,4.0,1,25,28,58,88,363,129,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.1
0,52.35955,4.8979,4,1.5,2.0,2.0,3,21,0,17,47,208,21,91.0,10.0,10.0,10.0,10.0,10.0,9.0,9.42
2,52.39235,4.88601,16,3.0,10.0,16.0,2,30,30,60,90,363,99,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.09
0,52.35796,4.89659,2,0.0,1.0,1.0,3,21,0,0,0,0,2,90.0,10.0,10.0,10.0,10.0,10.0,10.0,9.42
0,52.35853,4.89751,2,0.0,1.0,1.0,3,10,29,35,35,136,35,95.0,9.0,9.0,10.0,10.0,10.0,9.0,9.42
1,52.39992,4.92,2,1.5,1.0,2.0,2,21,0,0,0,0,75,90.0,9.0,10.0,10.0,9.0,9.0,9.0,9.1
1,52.35913,4.86638,2,1.0,1.0,1.0,2,130,0,0,0,0,28,96.0,10.0,10.0,10.0,10.0,10.0,10.0,9.08
2,52.37104,4.87713,2,1.0,1.0,1.0,3,666,23,53,83,352,81,95.0,9.0,10.0,10.0,10.0,10.0,9.0,9.08
1,52.36684,4.87676,2,1.0,1.0,1.0,3,30,0,0,0,0,53,96.0,10.0,9.0,10.0,10.0,9.0,9.0,9.46
