id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45768649,Cozy Denver Home w/ Beautiful yard and front porch,161438461,Maya,,Berkeley,39.77294,-105.03867,Entire home/apt,75,2,4,2021-01-18,1.85,1,7
45769945,Spot to safely crash downtown GREAT LOCATION!,118053766,Samantha,,Five Points,39.75529,-104.9871,Shared room,45,1,3,2020-11-08,0.83,1,0
45770634,Everything you need | 2BR in Denver,368944610,Kia,,Cherry Creek,39.71776,-104.94948,Entire home/apt,223,31,0,,,19,360
45770638,Everything you need | 2BR in Denver,368944610,Kia,,Cherry Creek,39.71776,-104.94948,Entire home/apt,220,31,0,,,19,360
45770640,Everything you need | 2BR in Denver,368944610,Kia,,Cherry Creek,39.71776,-104.94948,Entire home/apt,229,31,0,,,19,1
45771015,Charming Baker Row House - 2 Miles from Downtown,229865390,Brian,,Baker,39.71713,-104.99229,Entire home/apt,85,30,1,2020-12-11,0.58,1,301
45771852,"Clean, comfortable apartment | Studio in Denver",359071917,Kia,,Baker,39.71146,-104.99284,Entire home/apt,89,90,0,,,207,360
45774339,Bright & Spacious Home in W. Highlands/Sloans Lake,17683421,David,,Sloan Lake,39.75438,-105.02592,Entire home/apt,105,30,2,2021-01-06,0.92,1,55
45780717,Luxurious Uptown Denver Penthouse with City Views,371139938,Zach,,North Capitol Hill,39.74473,-104.97884,Entire home/apt,210,3,12,2021-01-09,3.36,1,235
45782271,"Mins. from Entertainment, Business and shopping",371095834,Mary,,Westwood,39.70682,-105.03585,Entire home/apt,111,30,17,2021-01-25,4.55,1,86
45783182,Deluxe King Guest Room,360560535,Kathryn,,CBD,39.74704,-104.99185,Private room,84,1,21,2021-01-26,5.94,23,295
45783268,Deluxe King Room at Boutique Hotel,360560535,Kathryn,,CBD,39.74625,-104.99308,Private room,81,1,18,2021-01-30,5.87,23,331
45785043,Bright loft in the heart of Denver,40856458,Sam,,Five Points,39.76113,-104.99679,Entire home/apt,117,2,7,2020-12-24,2.92,1,0
45787698,"Comfortable Queen bedroom, Suite Life",352372616,Dorothy,,Gateway - Green Valley Ranch,39.78519,-104.73557,Private room,60,29,0,,,1,365
45787990,Private home with adorable She-Shed,24147617,Natalie,,North Park Hill,39.75599,-104.91762,Entire home/apt,500,3,0,,,1,0
45788985,NEW! City House (RINO/DT area) w. Private Yard,7917646,Stephanie,,Globeville,39.77795,-104.98428,Entire home/apt,150,2,4,2021-01-03,1.40,1,15
45790714,*Largest Home on 4 Levels w/ Theater. Big groups!*,365182614,Gricelda,,Gateway - Green Valley Ranch,39.78285,-104.76092,Entire home/apt,599,29,0,,,3,365
45799916,"Cozy, Clean, Convenient",45941216,Rebecca,,Berkeley,39.78139,-105.03565,Private room,49,2,2,2020-10-25,0.57,2,365
45800917,Cap Hill | 3-Bedroom | Garage Parking! | Backyard!,258812507,Effortless Stay,,Capitol Hill,39.73601,-104.98047,Entire home/apt,124,1,5,2020-12-31,1.74,20,357
45800984,"Clean, Cozy, Convenient",45941216,Rebecca,,Berkeley,39.78275,-105.03579,Private room,49,2,1,2020-10-24,0.30,2,365
45803041,Escape to Denver King stile,370987920,Daniel,,East Colfax,39.74128,-104.89522,Private room,4500,29,1,2020-12-12,0.58,1,180
45804782,"Sunny, Stylish North Denver Home Next to Downtown",10086231,Emily,,Jefferson Park,39.75696,-105.02225,Entire home/apt,130,2,9,2021-01-24,2.45,1,10
45805668,Comforts of home + convenience | 2BR in Denver,359071917,Kia,,Hilltop,39.7132,-104.91261,Entire home/apt,160,30,0,,,207,360
45811642,Beautiful historical home on quiet leafy street!,18320139,Julie,,Country Club,39.7283,-104.97062,Entire home/apt,150,29,0,,,1,123
